n,K,alpha_c,beta,empirical_rate,empirical_wilson_hi,analytical_bound,n_obs
10,9,8,15,0.0,0.0458197362645751,4.856935749618894e-15,80
25,20,16,15,0.0,0.0458197362645751,3.276799999999989e-11,80
