run_id,protocol,n,seed,workload_arrival_process,workload_tx_bytes,workload_conflict_rate,workload_offered_rate,commit_hash,t_max,commit_latency_ms,finality_latency_ms,tps,goodput,consensus_msgs_per_acu,total_msgs_per_acu,bytes_per_acu,success_rate,fork_rate,K,alpha_p,alpha_c,beta,alpha_c_over_K,adversary_strategy,adversary_node_count,byzantine_fraction,view_change_count,clipped_fraction,run_horizon_s,throughput_ratio
casper-ffg-n10,casper-ffg,10,19,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,49.866667,101.326667,10.815642,10.815642,11267.773797,1.000000,0.000000,nan,nan,nan,nan,nan,none,0,0.000000,0,0.013193,230.000,1.000000
casper-ffg-n10,casper-ffg,10,0,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,39.000000,77.073333,11.230769,11.230769,12672.960000,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.011824,230.000,0.782086
casper-ffg-n10,casper-ffg,10,1,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,40.133333,79.713333,11.042193,11.042193,12309.954817,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.014730,230.000,0.804813
casper-ffg-n10,casper-ffg,10,2,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,38.733333,77.240000,11.309639,11.309639,12697.658520,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.010221,230.000,0.776738
casper-ffg-n10,casper-ffg,10,3,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,39.933333,79.440000,11.097496,11.097496,12371.607346,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.016420,230.000,0.800802
casper-ffg-n10,casper-ffg,10,4,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,40.133333,80.126667,11.066113,11.066113,12435.966777,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.013115,230.000,0.804813
casper-ffg-n10,casper-ffg,10,5,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,39.866667,79.733333,11.070903,11.070903,12360.545819,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.016447,230.000,0.799465
casper-ffg-n10,casper-ffg,10,6,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,41.600000,84.120000,10.836058,10.836058,11985.005769,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.012658,230.000,0.834225
casper-ffg-n10,casper-ffg,10,7,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,39.466667,79.086667,11.128378,11.128378,12405.697297,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.016611,230.000,0.791444
casper-ffg-n10,casper-ffg,10,8,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,40.000000,80.000000,11.052000,11.052000,12414.168000,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.016393,230.000,0.802139
