run_id,protocol,n,seed,workload_arrival_process,workload_tx_bytes,workload_conflict_rate,workload_offered_rate,commit_hash,t_max,commit_latency_ms,finality_latency_ms,tps,goodput,consensus_msgs_per_acu,total_msgs_per_acu,bytes_per_acu,success_rate,fork_rate,K,alpha_p,alpha_c,beta,alpha_c_over_K,network_phase_id,e_delay_ms,slot_duration_ms,clipped_fraction,run_horizon_s,p_drop,finalized_instances,view_change_count,finalization_rate
casper-ffg-n10,casper-ffg,10,16,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,61857.252402707,61857.252402707,0.398000,59.210000,10.592965,10.592965,1148969.527638,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail,3000.000,12000.000,0.074419,1150.000,0.000000,40,0,1.000000
casper-ffg-n10,casper-ffg,10,17,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,62270.840984481,62270.840984481,0.399000,59.707000,10.696742,10.696742,1147655.177945,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail,3000.000,12000.000,0.072093,1150.000,0.000000,40,0,1.000000
casper-ffg-n10,casper-ffg,10,18,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,62318.944301297,62318.944301297,0.399000,59.768000,10.596491,10.596491,1150714.987469,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail,3000.000,12000.000,0.072093,1150.000,0.000000,40,0,1.000000
casper-ffg-n10,casper-ffg,10,19,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,63122.574970235,63122.574970235,0.400000,59.434000,10.497500,10.497500,1143216.350000,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail,3000.000,12000.000,0.069767,1150.000,0.000000,40,0,1.000000
casper-ffg-n10,casper-ffg,10,0,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,62518.087492859,62518.087492859,0.025000,4.381000,103.360000,103.360000,17369559.040000,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,3,0,0.075000
casper-ffg-n10,casper-ffg,10,1,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,61952.793817673,61952.793817673,0.048000,7.331000,63.520833,63.520833,9048544.083333,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,5,0,0.125000
casper-ffg-n10,casper-ffg,10,2,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.026000,4.433000,120.884615,120.884615,16800228.769231,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,3,0,0.075000
casper-ffg-n10,casper-ffg,10,3,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,61788.483998451,61788.483998451,0.010000,1.505000,259.500000,259.500000,42748326.000000,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,1,0,0.025000
casper-ffg-n10,casper-ffg,10,4,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,61831.026032782,61831.026032782,0.027000,4.451000,102.185185,102.185185,16243471.851852,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,3,0,0.075000
casper-ffg-n10,casper-ffg,10,5,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,63366.975016040,63366.975016040,0.066000,11.964000,49.772727,49.772727,6609385.272727,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,8,0,0.200000
