run_id,protocol,n,seed,workload_arrival_process,workload_tx_bytes,workload_conflict_rate,workload_offered_rate,commit_hash,t_max,commit_latency_ms,finality_latency_ms,tps,goodput,consensus_msgs_per_acu,total_msgs_per_acu,bytes_per_acu,success_rate,fork_rate,K,alpha_p,alpha_c,beta,alpha_c_over_K,network_phase_id,e_delay_ms,slot_duration_ms,clipped_fraction,run_horizon_s
casper-ffg-n10,casper-ffg,10,18,poisson,512,0.0,100.0,2c04ef76-dirty,480.0,6348.377469642,6348.377469642,4.125000,99.200000,10.680303,10.680303,113436.103030,1.000000,0.000000,nan,nan,nan,nan,nan,delay-exponential,300.000,1200.000,0.014925,528.000
casper-ffg-n10,casper-ffg,10,19,poisson,512,0.0,100.0,2c04ef76-dirty,480.0,6305.088238200,6305.088238200,4.125000,99.202083,10.694444,10.694444,113438.874747,1.000000,0.000000,nan,nan,nan,nan,nan,delay-exponential,300.000,1200.000,0.014925,528.000
casper-ffg-n10,casper-ffg,10,0,poisson,512,0.0,100.0,2c04ef76-dirty,480.0,6320.421691328,6320.421691328,4.125000,98.910417,10.859091,10.859091,113471.145455,1.000000,0.000000,nan,nan,nan,nan,nan,delay-uniform,300.000,1200.000,0.014925,528.000
casper-ffg-n10,casper-ffg,10,1,poisson,512,0.0,100.0,2c04ef76-dirty,480.0,6306.576790851,6306.576790851,4.125000,98.691667,10.859091,10.859091,113471.145455,1.000000,0.000000,nan,nan,nan,nan,nan,delay-uniform,300.000,1200.000,0.014925,528.000
casper-ffg-n10,casper-ffg,10,2,poisson,512,0.0,100.0,2c04ef76-dirty,480.0,6338.000040352,6338.000040352,4.125000,98.362500,10.859091,10.859091,113471.145455,1.000000,0.000000,nan,nan,nan,nan,nan,delay-uniform,300.000,1200.000,0.014925,528.000
casper-ffg-n10,casper-ffg,10,3,poisson,512,0.0,100.0,2c04ef76-dirty,480.0,6320.713472659,6320.713472659,4.125000,99.231250,10.859091,10.859091,113471.145455,1.000000,0.000000,nan,nan,nan,nan,nan,delay-uniform,300.000,1200.000,0.014925,528.000
casper-ffg-n10,casper-ffg,10,4,poisson,512,0.0,100.0,2c04ef76-dirty,480.0,6373.603506830,6373.603506830,4.125000,99.181250,10.859091,10.859091,113471.145455,1.000000,0.000000,nan,nan,nan,nan,nan,delay-uniform,300.000,1200.000,0.014925,528.000
casper-ffg-n10,casper-ffg,10,5,poisson,512,0.0,100.0,2c04ef76-dirty,480.0,6312.792458233,6312.792458233,4.125000,99.320833,10.859091,10.859091,113471.145455,1.000000,0.000000,nan,nan,nan,nan,nan,delay-uniform,300.000,1200.000,0.014925,528.000
casper-ffg-n10,casper-ffg,10,6,poisson,512,0.0,100.0,2c04ef76-dirty,480.0,6341.882511844,6341.882511844,4.125000,99.293750,10.859091,10.859091,113471.145455,1.000000,0.000000,nan,nan,nan,nan,nan,delay-uniform,300.000,1200.000,0.014925,528.000
casper-ffg-n10,casper-ffg,10,7,poisson,512,0.0,100.0,2c04ef76-dirty,480.0,6335.560002715,6335.560002715,4.125000,99.170833,10.859091,10.859091,113471.145455,1.000000,0.000000,nan,nan,nan,nan,nan,delay-uniform,300.000,1200.000,0.014925,528.000
casper-ffg-n10,casper-ffg,10,8,poisson,512,0.0,100.0,2c04ef76-dirty,480.0,6376.030852842,6376.030852842,4.125000,99.062500,10.859091,10.859091,113471.145455,1.000000,0.000000,nan,nan,nan,nan,nan,delay-uniform,300.000,1200.000,0.014925,528.000
casper-ffg-n10,casper-ffg,10,9,poisson,512,0.0,100.0,2c04ef76-dirty,480.0,6358.980193926,6358.980193926,4.125000,99.247917,10.859091,10.859091,113471.145455,1.000000,0.000000,nan,nan,nan,nan,nan,delay-uniform,300.000,1200.000,0.014925,528.000
casper-ffg-n10,casper-ffg,10,10,poisson,512,0.0,100.0,2c04ef76-dirty,480.0,6329.730750617,6329.730750617,4.125000,99.658333,10.859091,10.859091,113471.145455,1.000000,0.000000,nan,nan,nan,nan,nan,delay-uniform,300.000,1200.000,0.014925,528.000
casper-ffg-n10,casper-ffg,10,11,poisson,512,0.0,100.0,2c04ef76-dirty,480.0,6358.200888236,6358.200888236,4.125000,99.102083,10.859091,10.859091,113471.145455,1.000000,0.000000,nan,nan,nan,nan,nan,delay-uniform,300.000,1200.000,0.014925,528.000
casper-ffg-n10,casper-ffg,10,12,poisson,512,0.0,100.0,2c04ef76-dirty,480.0,6329.174652929,6329.174652929,4.125000,99.893750,10.859091,10.859091,113471.145455,1.000000,0.000000,nan,nan,nan,nan,nan,delay-uniform,300.000,1200.000,0.014925,528.000
casper-ffg-n10,casper-ffg,10,13,poisson,512,0.0,100.0,2c04ef76-dirty,480.0,6336.563343807,6336.563343807,4.125000,99.131250,10.859091,10.859091,113471.145455,1.000000,0.000000,nan,nan,nan,nan,nan,delay-uniform,300.000,1200.000,0.014925,528.000
casper-ffg-n10,casper-ffg,10,14,poisson,512,0.0,100.0,2c04ef76-dirty,480.0,6345.124734320,6345.124734320,4.125000,99.312500,10.859091,10.859091,113471.145455,1.000000,0.000000,nan,nan,nan,nan,nan,delay-uniform,300.000,1200.000,0.014925,528.000
casper-ffg-n10,casper-ffg,10,15,poisson,512,0.0,100.0,2c04ef76-dirty,480.0,6334.178127677,6334.178127677,4.125000,99.222917,10.859091,10.859091,113471.145455,1.000000,0.000000,nan,nan,nan,nan,nan,delay-uniform,300.000,1200.000,0.014925,528.000
