rank,tie,protocol,n,n_seeds,aurc,aurc_ci_lo,aurc_ci_hi,fr_at_0_05,fr_at_0_10,fr_at_0_20,survival_depth_p,worst_finalizing_p,added_latency_ratio_worst,msgs_per_acu_worst,view_changes_at_0_20,control_commit_latency_ms,moderate_delay_latency_ms
1,False,pbft,10,20,0.25344620625,0.24632747949784833,0.2605649330021516,0.1692484,0.16054265,0.10372245,0.2,0.2,2.8442129885745917,79.3645035,30.0,7141.17856452155,1947.5079036167
2,False,snowman,10,20,0.17368961249999998,0.1718055254829829,0.17557369951701707,0.19475845,0.0,0.0,0.05,0.05,2.156543882594554,3522.22946765,0.0,71692.9144569419,12624.06179872395
3,False,casper-ffg,10,20,0.14906250000000001,0.1417714438460079,0.15635355615399213,0.06999999999999999,0.0175,0.0,0.1,0.1,1.0255835770337538,317.46723655555553,0.0,62005.04338547496,6341.8651227956
1,True,snowman,25,8,0.368735609375,0.3657239150843146,0.37174730366568537,0.903844875,0.047398375,0.0,0.1,0.1,3.1102403409835473,50067.316838624996,0.0,71205.25105895675,12203.559473736
1,True,pbft,25,20,0.351227775,0.3269165832357894,0.3755389667642106,0.53321905,0.21056750000000002,0.0558408,0.2,0.2,3.5747840604147614,678.2217011,75.0,7797.4351711133495,2005.6904130142498
3,False,casper-ffg,25,20,0.14015625,0.13459671875,0.14571578125,0.051250000000000004,0.00625,0.0,0.1,0.1,1.1011343627133219,1666.2184055999999,0.0,62123.000882095,6359.16601308915
